subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column
11,3,16/6/94,21,f,1,high ceiling,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.813953488,20.0075151509373,2,2,0,-1,427952.082391801
11,3,16/6/94,21,f,2,dentist drill,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.545454545,2.11166663671611,1,2,2,1,427954.94033967
11,3,16/6/94,21,f,3,windshield,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.454545455,20.0017877027858,2,1,0,-1,427975.687040406
11,3,16/6/94,21,f,4,electric chair,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.813953488,20.0027790535823,2,2,0,-1,427996.433747556
11,3,16/6/94,21,f,5,letterbox,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.522727273,20.0027325488627,2,1,0,-1,428017.180481326
11,3,16/6/94,21,f,6,runny nose,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.325581395,20.0039025416481,2,2,0,-1,428037.927150631
11,3,16/6/94,21,f,7,vegetative state,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.465116279,0.809234411630314,1,1,2,0,428039.47965117
11,3,16/6/94,21,f,8,hand rail,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.681818182,1.02141779515659,1,2,2,1,428041.243810713
11,3,16/6/94,21,f,9,speed bumps,Neutral phrase,sklar_emo,emo_sem_emo_sem,-0.666666667,1.96221353136934,1,2,2,1,428043.948874716
11,3,16/6/94,21,f,10,tin opener,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.555555556,20.0035449369461,2,2,0,-1,428064.695565189
11,3,16/6/94,21,f,11,human trafficking,Negative phrase,sklar_emo,emo_sem_emo_sem,-4.658536585,3.32671823445708,1,2,2,1,428068.764968723
11,3,16/6/94,21,f,12,traffic light,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.363636364,0.903849879163317,1,2,2,1,428070.411520259
11,3,16/6/94,21,f,13,clothes closet,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.636363636,0.609431527147535,1,1,1,1,428071.764071665
11,3,16/6/94,21,f,14,water boarding,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.139534884,0.574521290778648,1,1,1,1,428073.081274407
