subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column,PairID_column,List_column
20,4,19/7/94,21,m,1,Claire dragged the car,Neutral sentence,edin_emo,sem_emo_sem_emo,-1.414634146,1.38979168480728,2,2,2,1,538042.132938183,10,B
20,4,19/7/94,21,m,2,The fireman killed the fire,Neutral sentence,edin_emo,sem_emo_sem_emo,3.545454545,1.5133250245126,2,1,1,1,538044.391065912,3,B
20,4,19/7/94,21,m,3,The baby hit Mum,Neutral sentence,edin_emo,sem_emo_sem_emo,-2.046511628,1.43195889121853,1,2,2,1,538046.566889718,12,B
20,4,19/7/94,21,m,4,The male was a pig,Negative sentence,edin_emo,sem_emo_sem_emo,-2.23255814,2.0320102708647,2,1,1,1,538049.342584978,15,B
20,4,19/7/94,21,m,5,The ball hit Sam,Negative sentence,edin_emo,sem_emo_sem_emo,-2.644444444,1.62036974076182,1,1,1,1,538051.706518476,13,B
20,4,19/7/94,21,m,6,Claire went over the bridge,Negative sentence,edin_emo,sem_emo_sem_emo,-1,1.12546087708324,2,1,1,1,538053.576537668,17,B
20,4,19/7/94,21,m,7,The washer spun the child,Negative sentence,edin_emo,sem_emo_sem_emo,-3.536585366,1.06797119148541,2,2,2,1,538055.387787174,22,B
20,4,19/7/94,21,m,8,The nurse injected the patient,Neutral sentence,edin_emo,sem_emo_sem_emo,-0.511627907,1.33634918637108,1,1,1,1,538057.469557096,1,B
20,4,19/7/94,21,m,9,The officer crushed the car,Neutral sentence,edin_emo,sem_emo_sem_emo,-3.222222222,1.30267597362399,2,1,1,1,538059.516001447,7,B
20,4,19/7/94,21,m,10,The baby kicked john,Neutral sentence,edin_emo,sem_emo_sem_emo,-1.75,1.078685541288,2,1,1,1,538061.33896371,11,B
20,4,19/7/94,21,m,11,The toddler slapped dad,Neutral sentence,edin_emo,sem_emo_sem_emo,-2.585365854,1.64347741857637,1,2,2,1,538063.726456141,4,B
20,4,19/7/94,21,m,12,The dog scared the child,Negative sentence,edin_emo,sem_emo_sem_emo,-2.80952381,2.25580987369176,1,1,1,1,538066.725574477,21,B
