subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column,PairID_column,List_column
65,2,23/12/95,20,F,1,The brick hit the baby,Negative sentence,edin_emo,sem_emo_sem_emo,-4.243902439,1.48493611905724,2,1,1,1,344640.653872946,8,A
65,2,23/12/95,20,F,2,The pig was a male,Neutral sentence,edin_emo,sem_emo_sem_emo,0.071428571,0.808519789017737,1,2,2,1,344642.206344925,15,A
65,2,23/12/95,20,F,3,The fire killed the fireman,Negative sentence,edin_emo,sem_emo_sem_emo,-4.837209302,0.59631082607666,1,2,2,1,344643.547098642,3,A
65,2,23/12/95,20,F,4,The car crushed the officer,Negative sentence,edin_emo,sem_emo_sem_emo,-4.581395349,0.479422306932975,1,2,2,1,344644.770278141,7,A
65,2,23/12/95,20,F,5,The people ate the fish,Neutral sentence,edin_emo,sem_emo_sem_emo,1.404761905,0.820501554233488,1,1,1,1,344646.334498722,20,A
65,2,23/12/95,20,F,6,The man ate the snake,Neutral sentence,edin_emo,sem_emo_sem_emo,-1.219512195,0.549943745776545,1,2,2,1,344647.628199018,23,A
65,2,23/12/95,20,F,7,The cat licked Sally,Neutral sentence,edin_emo,sem_emo_sem_emo,2.255813953,0.55016183515545,1,2,2,1,344648.921960572,19,A
65,2,23/12/95,20,F,8,The child scared the dog,Neutral sentence,edin_emo,sem_emo_sem_emo,-1.136363636,0.985194619104732,2,2,2,1,344650.650806546,21,A
65,2,23/12/95,20,F,9,The boar ate Bobby,Negative sentence,edin_emo,sem_emo_sem_emo,-4.658536585,1.38531033479376,1,1,1,1,344652.779597612,2,A
65,2,23/12/95,20,F,10,Mum hit the baby,Negative sentence,edin_emo,sem_emo_sem_emo,-4.195121951,1.06746433919761,2,1,1,1,344654.59075949,12,A
65,2,23/12/95,20,F,11,Andy cut the paper,Neutral sentence,edin_emo,sem_emo_sem_emo,0.186046512,1.12531767279143,1,1,2,0,344656.460762517,14,A
65,2,23/12/95,20,F,12,John kicked the baby,Negative sentence,edin_emo,sem_emo_sem_emo,-4.522727273,0.537069097103085,1,2,2,1,344657.742782525,11,A
65,2,23/12/95,20,F,13,The patient injected the nurse,Negative sentence,edin_emo,sem_emo_sem_emo,-3.511627907,0.584430729039013,1,2,2,1,344659.071773849,1,A
65,2,23/12/95,20,F,14,Steve jumped on the dog,Negative sentence,edin_emo,sem_emo_sem_emo,-2.311111111,0.502206230419688,1,2,2,1,344660.318443817,9,A
