subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column
31,3,21/7/91,21,f,1,letterbox,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.522727273,2.68399419111665,2,1,1,1,955287.446764688
31,3,21/7/91,21,f,2,paper clip,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.431818182,1.56082711555064,2,2,2,1,955289.751956082
31,3,21/7/91,21,f,3,traffic light,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.363636364,1.68970688607078,2,2,2,1,955292.186504801
31,3,21/7/91,21,f,4,dining table,Neutral phrase,sklar_emo,emo_sem_emo_sem,1.302325581,2.06667194794863,2,2,2,1,955294.997431019
31,3,21/7/91,21,f,5,dentist drill,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.545454545,1.80846724531148,1,2,1,0,955297.549636815
31,3,21/7/91,21,f,6,carpark,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.181818182,3.03166196704842,2,1,1,1,955301.324967735
31,3,21/7/91,21,f,7,backpack,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.744186047,6.93616387341172,1,1,1,1,955309.00498177
31,3,21/7/91,21,f,8,body wash,Neutral phrase,sklar_emo,emo_sem_emo_sem,1.697674419,2.38413383334409,1,1,2,0,955312.133462242
31,3,21/7/91,21,f,9,tin opener,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.555555556,5.32470474357251,2,2,2,1,955318.202232672
31,3,21/7/91,21,f,10,cardboard box,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.090909091,3.46639157296158,1,1,1,1,955322.412709816
31,3,21/7/91,21,f,11,runny nose,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.325581395,2.52583252941258,1,2,2,1,955325.68234055
31,3,21/7/91,21,f,12,helicopter pad,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.674418605,1.63114534853958,1,2,2,1,955328.058081096
31,3,21/7/91,21,f,13,computer bug,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.731707317,1.23213419760577,2,2,2,1,955330.033986237
31,3,21/7/91,21,f,14,computer screen,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.886363636,1.45513937284704,1,1,1,1,955332.233302908
31,3,21/7/91,21,f,15,frost bite,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.534883721,2.00823549181223,2,2,2,1,955334.9853969
31,3,21/7/91,21,f,16,stomach pump,Negative phrase,sklar_emo,emo_sem_emo_sem,-3,1.65511993702967,1,2,2,1,955337.384706642
31,3,21/7/91,21,f,17,ironed shirt,Neutral phrase,sklar_emo,emo_sem_emo_sem,2.11627907,2.44389262492768,2,1,1,1,955340.572020944
31,3,21/7/91,21,f,18,foot fungus,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.488372093,1.12585760978982,2,2,2,1,955342.441993311
31,3,21/7/91,21,f,19,cow pat,Negative phrase,sklar_emo,emo_sem_emo_sem,-1.090909091,3.9250232843915,1,1,1,1,955347.111223399
31,3,21/7/91,21,f,20,facial hair,Negative phrase,sklar_emo,emo_sem_emo_sem,-0.136363636,3.49003389396239,2,1,1,1,955351.345251459
