subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column
55,3,17/11/92,23,f,1,clothes closet,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.636363636,2.78947673949006,2,2,2,1,80103.6178003251
55,3,17/11/92,23,f,2,kidnap,Negative phrase,sklar_emo,emo_sem_emo_sem,-4.302325581,1.61967076204019,1,2,2,1,80105.9817382235
55,3,17/11/92,23,f,3,cardboard box,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.090909091,1.18427171625081,2,2,2,1,80107.9105859291
55,3,17/11/92,23,f,4,front door,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.88372093,0.985009243144304,1,2,1,0,80109.6394354308
55,3,17/11/92,23,f,5,missing teeth,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.790697674,2.09015525397263,1,1,1,1,80112.4738761022
55,3,17/11/92,23,f,6,computer screen,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.886363636,1.2533345221309,1,2,2,1,80114.4732850158
55,3,17/11/92,23,f,7,backpack,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.744186047,1.40887424840184,1,2,2,1,80116.6255367243
55,3,17/11/92,23,f,8,speed bumps,Neutral phrase,sklar_emo,emo_sem_emo_sem,-0.666666667,0.974041914203553,2,1,1,1,80118.3426860527
55,3,17/11/92,23,f,9,spotty face,Negative phrase,sklar_emo,emo_sem_emo_sem,-1.840909091,0.926906710359617,2,2,2,1,80120.0127620761
55,3,17/11/92,23,f,10,desk lamp,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.772727273,1.12652293722203,2,2,2,1,80121.8827811396
55,3,17/11/92,23,f,11,traffic light,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.363636364,1.07985245613963,1,1,1,1,80123.705771799
55,3,17/11/92,23,f,12,ironed shirt,Neutral phrase,sklar_emo,emo_sem_emo_sem,2.11627907,1.16260646287992,2,2,2,1,80125.6110530252
55,3,17/11/92,23,f,13,root canal,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.511111111,1.51532013593533,1,2,2,1,80127.8691829475
55,3,17/11/92,23,f,14,vegetative state,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.465116279,1.30347230329062,1,2,2,1,80129.9156042294
55,3,17/11/92,23,f,15,pedestrian crossing,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.613636364,0.856450698338449,2,1,1,1,80131.5151504752
55,3,17/11/92,23,f,16,helicopter pad,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.674418605,0.938759225507965,2,1,1,1,80133.1969651583
55,3,17/11/92,23,f,17,dining table,Neutral phrase,sklar_emo,emo_sem_emo_sem,1.302325581,0.844784200569848,2,1,1,1,80134.7846813394
55,3,17/11/92,23,f,18,cogwheel,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.214285714,0.832686655630823,2,1,1,1,80136.3606671995
55,3,17/11/92,23,f,19,facial hair,Negative phrase,sklar_emo,emo_sem_emo_sem,-0.136363636,0.856604643762694,1,2,2,1,80137.9601906742
55,3,17/11/92,23,f,20,wooden stool,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.292682927,1.11510275215551,2,1,1,1,80139.8184665881
55,3,17/11/92,23,f,21,bad breath,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.933333333,0.997553229841287,2,2,2,1,80141.5590813691
55,3,17/11/92,23,f,22,black head,Negative phrase,sklar_emo,emo_sem_emo_sem,-1.952380952,1.15079147194047,2,2,2,1,80143.452657932
55,3,17/11/92,23,f,23,water boarding,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.139534884,0.891539030941203,2,2,2,1,80145.087429137
