subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column
27,3,22/12/90,25,f,1,I turned off the door,Sklar_violation,sklar_semantics,emo_sem_emo_sem,10.3052225038409,2,2,2,1,787696.152509904
27,3,22/12/90,25,f,2,I folded the vest,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,5.38273901457433,2,2,2,1,787702.280049699
27,3,22/12/90,25,f,3,I cleaned the floor,Sklar_filler,sklar_semantics,emo_sem_emo_sem,2.83142963622231,2,1,1,1,787705.855485047
27,3,22/12/90,25,f,4,I heard the sound,Sklar_filler,sklar_semantics,emo_sem_emo_sem,9.00610365462489,2,2,2,1,787715.605442391
27,3,22/12/90,25,f,5,I laundered the refrigerator,Sklar_violation,sklar_semantics,emo_sem_emo_sem,20.0024772543693,2,2,0,-1,787736.352174237
27,3,22/12/90,25,f,6,I warmed up the food,Sklar_filler,sklar_semantics,emo_sem_emo_sem,2.04338274151087,2,2,1,0,787739.139551785
27,3,22/12/90,25,f,7,I locked the ground,Sklar_violation,sklar_semantics,emo_sem_emo_sem,7.0181005706545,2,2,1,0,787746.901918814
27,3,22/12/90,25,f,8,I solved the peas,Sklar_violation,sklar_semantics,emo_sem_emo_sem,3.41967108065728,1,2,2,1,787751.065365007
27,3,22/12/90,25,f,9,I played the melody,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.65511769196019,1,2,2,1,787753.4646616
27,3,22/12/90,25,f,10,I drew the map,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.62070938502438,1,2,2,1,787755.828673675
27,3,22/12/90,25,f,11,I scattered the dice,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.9613071718486,1,2,2,1,787758.533757563
27,3,22/12/90,25,f,12,I bought the shoe lace,Sklar_filler,sklar_semantics,emo_sem_emo_sem,4.27864429657348,1,1,1,1,787763.555797558
27,3,22/12/90,25,f,13,I crumpled the paper,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,2.12616261618678,1,2,2,1,787766.425456259
27,3,22/12/90,25,f,14,I fried the squash,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,5.20756018022075,2,1,1,1,787772.376602326
27,3,22/12/90,25,f,15,I folded the diamond,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.33813977567479,2,2,1,0,787775.458054412
27,3,22/12/90,25,f,16,I watered the plant,Sklar_filler,sklar_semantics,emo_sem_emo_sem,2.63149076572154,2,2,1,0,787778.833490915
27,3,22/12/90,25,f,17,I lifted the squash,Sklar_filler,sklar_semantics,emo_sem_emo_sem,4.21958852687385,2,2,2,1,787783.796711512
27,3,22/12/90,25,f,18,I burnt the stew,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,2.16159274242818,1,1,1,1,787786.701787831
27,3,22/12/90,25,f,19,I turned up the bread,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.19714346004184,1,2,2,1,787788.642307747
27,3,22/12/90,25,f,20,I woke up the steam,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.07968202361371,1,2,2,1,787790.465291818
27,3,22/12/90,25,f,21,I cooked the tomatoes,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.7265699969139,1,1,1,1,787792.935178616
27,3,22/12/90,25,f,22,I dug the well,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.16241154493764,1,2,2,1,787794.840471422
27,3,22/12/90,25,f,23,I washed the head,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.44413637334947,1,1,2,0,787797.028024341
27,3,22/12/90,25,f,24,I closed the cabinet,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.75021103490144,2,1,1,1,787799.521408815
27,3,22/12/90,25,f,25,I smelled the melody,Sklar_violation,sklar_semantics,emo_sem_emo_sem,3.91372457961552,2,2,2,1,787804.178849174
27,3,22/12/90,25,f,26,I woke up the child,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.17380261758808,1,2,2,1,787806.09590958
27,3,22/12/90,25,f,27,I sprinkled the sand,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.18525334447622,1,2,2,1,787808.024717059
27,3,22/12/90,25,f,28,I shampooed the hair,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.43248166760895,1,1,1,1,787810.200545676
27,3,22/12/90,25,f,29,I turned up the volume,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.27949356753379,1,2,2,1,787812.223466694
27,3,22/12/90,25,f,30,I met the woman,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.58559356606565,1,1,1,1,787814.552213814
27,3,22/12/90,25,f,31,I ironed the clothes,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,2.43205093825236,2,1,1,1,787817.727766289
27,3,22/12/90,25,f,32,I scrubbed the thunder,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.91020497959107,2,1,1,1,787820.374091075
27,3,22/12/90,25,f,33,I tied the chasm,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.47779643663671,1,1,1,1,787822.59698945
27,3,22/12/90,25,f,34,I spread the glue,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.98337859788444,2,1,1,1,787826.32511206
27,3,22/12/90,25,f,35,I met the child,Sklar_filler,sklar_semantics,emo_sem_emo_sem,0.902985213440843,1,2,2,1,787827.971704328
27,3,22/12/90,25,f,36,I wore the way,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.04373778053559,1,2,2,1,787829.759356414
27,3,22/12/90,25,f,37,I sold the diamond,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.04347799590323,2,2,2,1,787832.546778222
27,3,22/12/90,25,f,38,I solved the exercise,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.06770563393366,1,2,2,1,787834.35800175
27,3,22/12/90,25,f,39,I imagined the border,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.13881123869214,1,1,1,1,787836.239773789
27,3,22/12/90,25,f,40,I baked the bread,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,0.927307143690996,1,2,2,1,787837.909861166
27,3,22/12/90,25,f,41,I broke the hat,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.00960336986464,1,1,1,1,787839.662291916
27,3,22/12/90,25,f,42,I heard the thunder,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,0.833256467129104,1,1,1,1,787841.238274415
27,3,22/12/90,25,f,43,I tore the map,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,3.89095654606353,2,2,2,1,787845.872190799
27,3,22/12/90,25,f,44,I ironed the coffee,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.13828140636906,2,1,1,1,787848.753686054
27,3,22/12/90,25,f,45,I broke the water,Sklar_violation,sklar_semantics,emo_sem_emo_sem,10.6772654498927,2,2,1,0,787860.173751302
27,3,22/12/90,25,f,46,I washed the cup,Sklar_filler,sklar_semantics,emo_sem_emo_sem,5.23090455064084,2,2,2,1,787866.148429041
27,3,22/12/90,25,f,47,I locked the cabinet,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.23132180958055,1,2,2,1,787868.124310769
27,3,22/12/90,25,f,48,I spilled the juice,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.09082100901287,1,1,1,1,787869.959042877
27,3,22/12/90,25,f,49,I drank the chair,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.10256391344592,2,1,1,1,787872.805250086
27,3,22/12/90,25,f,50,I laundered the scarf,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.31454812875018,1,2,2,1,787874.863474224
27,3,22/12/90,25,f,51,I bought the clothes,Sklar_filler,sklar_semantics,emo_sem_emo_sem,9.90042553353123,2,2,2,1,787885.507333302
27,3,22/12/90,25,f,52,I looked for the way,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.05509549810085,1,2,2,1,787888.306479412
27,3,22/12/90,25,f,53,I made the coffee,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,0.996993875596672,1,1,1,1,787890.047159881
27,3,22/12/90,25,f,54,I sold the string,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.05575393978506,1,2,2,1,787891.846581492
27,3,22/12/90,25,f,55,I gathered the shower,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.36165412864648,1,1,1,1,787893.951835939
27,3,22/12/90,25,f,56,I photographed the moon,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.0792695756536,1,1,1,1,787895.77482386
27,3,22/12/90,25,f,57,I shaved the glue,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.04403124086093,1,1,1,1,787898.562234763
27,3,22/12/90,25,f,58,I changed the sock,Sklar_filler,sklar_semantics,emo_sem_emo_sem,4.19564536900725,2,1,1,1,787903.501905408
27,3,22/12/90,25,f,59,I planted the plant,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.67958138126414,2,1,1,1,787905.924701601
27,3,22/12/90,25,f,60,I closed the door,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.03268218284938,1,2,2,1,787907.700650552
27,3,22/12/90,25,f,61,I lit the rain,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.8089387062937,1,1,1,1,787910.252830369
27,3,22/12/90,25,f,62,I tied the shoelace,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,0.973668106948026,1,1,1,1,787911.96994998
27,3,22/12/90,25,f,63,I found the key,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,3.44362867099699,2,1,1,1,787916.156940674
27,3,22/12/90,25,f,64,I liked the dance,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.37313339975663,1,2,2,1,787918.273946365
27,3,22/12/90,25,f,65,I fixed the stairs,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.70315699197818,1,1,1,1,787920.720283531
27,3,22/12/90,25,f,66,I scrubbed the house,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,0.938488464336842,1,1,1,1,787922.402109322
27,3,22/12/90,25,f,67,I built the rice,Sklar_violation,sklar_semantics,emo_sem_emo_sem,8.31293265358545,2,1,2,0,787931.458210604
27,3,22/12/90,25,f,68,I changed the computer,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.34953822486568,1,2,2,1,787933.551705149
