subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column
73,1,23/1/95,21,F,1,facial hair,Negative phrase,sklar_emo,emo_sem_emo_sem,-0.136363636,1.07295409729704,1,2,2,1,779792.347024748
73,1,23/1/95,21,F,2,bad breath,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.933333333,1.38551912328694,2,2,2,1,779794.475760972
73,1,23/1/95,21,F,3,spotty face,Negative phrase,sklar_emo,emo_sem_emo_sem,-1.840909091,0.985889618634246,1,2,2,1,779796.204657619
73,1,23/1/95,21,F,4,pedestrian crossing,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.613636364,0.891708050156012,2,1,1,1,779797.839429786
73,1,23/1/95,21,F,5,computer bug,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.731707317,1.04474969103467,2,1,1,1,779799.627092535
73,1,23/1/95,21,F,6,black eye,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.860465116,0.856638640048914,1,1,1,1,779801.226601578
73,1,23/1/95,21,F,7,black head,Negative phrase,sklar_emo,emo_sem_emo_sem,-1.952380952,1.80894410109613,2,2,2,1,779803.77875893
73,1,23/1/95,21,F,8,electric chair,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.813953488,1.70359956484754,1,1,1,1,779806.225093875
73,1,23/1/95,21,F,9,human trafficking,Negative phrase,sklar_emo,emo_sem_emo_sem,-4.658536585,0.868193206610158,1,1,1,1,779807.836365631
73,1,23/1/95,21,F,10,apartment building,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.522727273,0.59802314825356,1,1,1,1,779809.177112933
73,1,23/1/95,21,F,11,wooden stool,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.292682927,0.679810826783068,1,1,1,1,779810.600208532
73,1,23/1/95,21,F,12,kidnap,Negative phrase,sklar_emo,emo_sem_emo_sem,-4.302325581,1.53905916248914,2,2,2,1,779812.881870937
73,1,23/1/95,21,F,13,stomach pump,Negative phrase,sklar_emo,emo_sem_emo_sem,-3,0.998144316137768,1,1,1,1,779814.622512659
73,1,23/1/95,21,F,14,dentist drill,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.545454545,0.868457479635254,1,1,1,1,779816.233785377
73,1,23/1/95,21,F,15,tile roof,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.511111111,0.762572210049257,1,2,2,1,779817.739200407
73,1,23/1/95,21,F,16,upside-down car,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.840909091,0.903671854990534,1,2,2,1,779819.38578949
73,1,23/1/95,21,F,17,overdose,Negative phrase,sklar_emo,emo_sem_emo_sem,-3.833333333,0.786256393650547,1,1,1,1,779820.914714553
73,1,23/1/95,21,F,18,cardboard box,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.090909091,0.798140659928322,1,2,2,1,779822.455445306
73,1,23/1/95,21,F,19,concentration camp,Negative phrase,sklar_emo,emo_sem_emo_sem,-4.395348837,0.715415838756599,1,2,2,1,779823.913805954
73,1,23/1/95,21,F,20,tin opener,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.555555556,0.797872859053314,1,1,1,1,779825.454490845
73,1,23/1/95,21,F,21,hand rail,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.681818182,0.856816960149445,2,1,1,1,779827.053994756
73,1,23/1/95,21,F,22,clothes closet,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.636363636,0.891556670540012,2,2,2,1,779828.688799315
73,1,23/1/95,21,F,23,paper clip,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.431818182,1.17433421802707,2,1,1,1,779830.605883987
73,1,23/1/95,21,F,24,lined paper,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.533333333,2.36192313756328,2,1,1,1,779833.710776308
